 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.6000    2.4003    0.0000    2.4982     5000     1932      8.28     1003       24   37.9647   10.6275  -82.6125  100.9830 
   2    1.6201    2.3795    0.0000    2.4982     5000     1877      8.03     1255       16   37.9647   10.1625  -82.4025  101.4240 
   3    1.6401    2.3595    0.0000    2.4982     5000     1980      8.38     1445       18   37.9647    9.6900  -82.2225  101.7170 
   4    1.6600    2.3396    0.0000    2.4982     5000     1838      8.06     1467       29   37.9647    9.2125  -82.0525  102.1550 
   5    1.6800    2.3196    0.0000    2.4982     5000     1894      8.30     1395       26   37.9647    8.7275  -81.8925  102.5920 
   6    1.7001    2.2995    0.0000    2.4982     5000     1934      8.06     1237       38   37.9647    8.2350  -81.7400  103.0340 
   7    1.7201    2.2795    0.0000    2.4982     5000     1877      7.98     1035       37   37.9647    7.7375  -81.6000  103.3270 
   8    1.7401    2.2595    0.0000    2.4982     5000     1879      8.15      925       31   37.9647    7.2350  -81.4675  103.7640 
   9    1.7600    2.2396    0.0000    2.4982     5000     2043      8.15      681       35   37.9647    6.7275  -81.3475  104.0500 
  10    1.7800    2.2196    0.0000    2.4982     5000     1837      7.93      493       42   37.9647    6.2125  -81.2350  104.4820 
  11    1.8000    2.1996    0.0000    2.4982     5000     2076      8.45      428       44   37.9647    5.6925  -81.1325  104.9040 
  12    1.8201    2.1795    0.0000    2.4982     5000     2031      8.18      316       48   37.9647    5.1650  -81.0400  105.3250 
  13    1.8400    2.1596    0.0000    2.4982     5000     1903      8.04      262       40   37.9647    4.6350  -80.9575  105.6010 
  14    1.8600    2.1396    0.0000    2.4982     5000     1944      8.12      218       34   37.9647    4.0975  -80.8850  106.0160 
  15    1.8800    2.1197    0.0000    2.4982     5000     1917      8.15      193       54   37.9647    3.5575  -80.8250  106.3010 
  16    1.9000    2.0995    0.0000    2.4982     5000     1882      8.01      200       62   37.9647    3.0100  -80.7650  106.7110 
  17    1.9200    2.0800    0.0000    2.4982     5000     1972      8.14      195       45   37.9647    2.4575  -80.7350  106.9870 
  18    1.9400    2.0597    0.0000    2.4978     5000     1878      8.01      177       40   37.9652    1.9000  -80.6950  107.3950 
  19    1.9600    2.0396    0.0000    2.4978     5000     1982      8.36      176       47   37.9652    1.3400  -80.6675  107.6640 
  20    1.9801    2.0201    0.0000    2.4978     5000     1823      7.90      176       44   37.9652    0.7725  -80.6675  107.9300 
  21    2.0001    2.0003    0.0000    2.4978     5000     1969      8.09      209       28   37.9652    0.2025  -80.6675  108.3260 
  22    2.0201    1.9802    0.0000    2.4978     5000     1912      7.95      156       33   37.9652   -0.3725  -80.6675  108.5870 
  23    2.0400    1.9596    0.0000    2.4978     5000     1923      8.13      198       28   37.9652   -0.9525  -80.6675  108.8440 
  24    2.0599    1.9396    0.0000    2.4978     5000     1878      8.03      200       35   37.9652   -1.5350  -80.6900  109.2260 
  25    2.0800    1.9198    0.0000    2.4978     5000     1882      8.15      224       33   37.9652   -2.1225  -80.7300  109.4780 
  26    2.1000    1.9000    0.0000    2.4978     5000     1882      7.93      250       36   37.9652   -2.7150  -80.7800  109.7270 
  27    2.1201    1.8803    0.0000    2.4978     5000     1896      8.17      301       26   37.9652   -3.3100  -80.8425  110.1000 
  28    2.1401    1.8602    0.0000    2.4978     5000     1810      7.95      364       20   37.9652   -3.9100  -80.9025  110.3500 
  29    2.1601    1.8403    0.0000    2.4978     5000     1889      8.10      384       31   37.9652   -4.5125  -80.9775  110.7220 
  30    2.1801    1.8201    0.0000    2.4978     5000     1914      8.01      479       26   37.9652   -5.1200  -81.0575  110.9660 
  31    2.2001    1.8002    0.0000    2.4978     5000     2037      8.21      585       15   37.9652   -5.7300  -81.1525  111.3290 
  32    2.2201    1.7802    0.0000    2.4978     5000     1999      8.23      650       22   37.9652   -6.3425  -81.2550  111.5670 
  33    2.2401    1.7602    0.0000    2.4978     5000     1935      7.96      695       24   37.9652   -6.9600  -81.3675  111.9200 
  34    2.2601    1.7403    0.0000    2.4978     5000     1926      8.14      752       10   37.9652   -7.5775  -81.4900  112.2670 
  35    2.2801    1.7203    0.0000    2.4978     5000     1978      8.07      849       18   37.9652   -8.2000  -81.6225  112.6080 
  36    2.3001    1.7003    0.0000    2.4978     5000     1908      8.12      867       19   37.9652   -8.8250  -81.7625  112.8320 
  37    2.3202    1.6803    0.0000    2.4978     5000     1936      7.94      919       14   37.9652   -9.4550  -81.9150  113.1640 
  38    2.3401    1.6603    0.0000    2.4978     5000     1991      8.13      924       14   37.9652  -10.0850  -82.0750  113.3800 
  39    2.3601    1.6403    0.0000    2.4978     5000     1922      8.06      902       16   37.9652  -10.7175  -82.2450  113.7090 
  40    2.3802    1.6202    0.0000    2.4978     5000     1890      8.17      784       14   37.9652  -11.3550  -82.4250  114.0210 
  41    2.4001    1.6003    0.0000    2.4978     5000     1902      8.23      728       12   37.9652  -11.9925  -82.6150  114.3430 
