 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0397   -0.0001    0.0000    4.0006     5000     1884      7.57       98       20   36.3506  -35.5525  -53.9850   11.8005 
   2    2.0604    0.0002    0.0000    4.0006     5000     1714      7.60       87       15   36.3506  -35.7600  -54.5900   11.8005 
   3    2.0804    0.0001    0.0000    4.0006     5000     1797      7.51      108       11   36.3506  -35.9725  -55.1725   11.8006 
   4    2.1004    0.0001    0.0000    4.0006     5000     1857      7.63       91       17   36.3506  -36.1850  -55.7600   11.8005 
   5    2.1204    0.0001    0.0000    4.0006     5000     1795      7.62      175       16   36.3506  -36.4000  -56.3475   11.8007 
   6    2.1404    0.0002    0.0000    4.0006     5000     1764      7.59      216       16   36.3506  -36.6150  -56.9375   11.8004 
   7    2.1604    0.0002    0.0000    4.0006     5000     1800      7.82      257       19   36.3506  -36.8350  -57.5275   11.8005 
   8    2.1804    0.0002    0.0000    4.0006     5000     1866      7.63      295       19   36.3506  -37.0550  -58.1200   11.8006 
   9    2.2004    0.0002    0.0000    4.0006     5000     1823      7.58      362       18   36.3506  -37.2775  -58.7125   11.8002 
  10    2.2204    0.0002    0.0000    4.0006     5000     1759      7.53      323       13   36.3506  -37.5025  -59.3100   11.8003 
  11    2.2404    0.0002    0.0000    4.0006     5000     1828      7.72      307       25   36.3506  -37.7300  -59.9075   11.8003 
  12    2.2604    0.0002    0.0000    4.0006     5000     1748      7.65      301       19   36.3506  -37.9575  -60.5050   11.8004 
  13    2.2805    0.0002    0.0000    4.0006     5000     1752      7.52      207       20   36.3506  -38.1875  -61.1075   11.8007 
  14    2.3005    0.0002    0.0000    4.0006     5000     1802      7.70      166       14   36.3506  -38.4200  -61.7100   11.8005 
  15    2.3204    0.0002    0.0000    4.0006     5000     1789      7.59      118       18   36.3506  -38.6550  -62.3125   11.8005 
  16    2.3404    0.0003    0.0000    4.0006     5000     1734      7.66      115       16   36.3506  -38.8900  -62.9200   11.8004 
  17    2.3604    0.0002    0.0000    4.0006     5000     1806      7.46       76       19   36.3506  -39.1300  -63.5275   11.8004 
  18    2.3804    0.0002    0.0000    4.0006     5000     1724      7.58       88       13   36.3506  -39.3700  -64.1375   11.8005 
  19    2.4004    0.0003    0.0000    4.0006     5000     1873      7.73       86       20   36.3506  -39.6100  -64.7500   11.8004 
  20    2.4204    0.0002    0.0000    4.0006     5000     1792      7.57       82        8   36.3506  -39.8550  -65.3625   11.8005 
  21    2.4404    0.0002    0.0000    4.0006     5000     1761      7.45      100        9   36.3506  -40.1000  -65.9800   11.8005 
  22    2.4604    0.0002    0.0000    4.0006     5000     1733      7.66      104       14   36.3506  -40.3475  -66.5975   11.8005 
  23    2.4804    0.0002    0.0000    4.0006     5000     1803      7.70       82        9   36.3506  -40.5975  -67.2175   11.8005 
  24    2.5004    0.0002    0.0000    4.0006     5000     1784      7.63       80        8   36.3506  -40.8475  -67.8400   11.8005 
  25    2.5203    0.0002    0.0000    4.0006     5000     1776      7.52       72        7   36.3506  -41.1000  -68.4625   11.8004 
  26    2.5404    0.0003    0.0000    4.0006     5000     1825      7.50       62       12   36.3506  -41.3550  -69.0925   11.8008 
  27    2.5604    0.0002    0.0000    4.0006     5000     1772      7.64       63        8   36.3506  -41.6125  -69.7200   11.8006 
