 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.5000    2.5002    0.0000    0.9973     5000     2178      9.06       98        9   39.8133   13.0875  -86.2525  127.6430 
   2    1.5001    2.4995    0.0000    1.2484     5000     2170      9.04       87       20   39.4851   13.0550  -85.7925  127.6930 
   3    1.5000    2.4997    0.0000    1.5009     5000     1966      8.57       87       14   39.1633   13.0225  -85.3575  127.7400 
   4    1.5000    2.4997    0.0000    1.7491     5000     2005      8.72      112       10   38.8544   12.9850  -84.9325  127.7850 
   5    1.5001    2.4996    0.0000    1.9981     5000     1932      8.20      136       12   38.5517   12.9450  -84.5100  127.8290 
   6    1.5001    2.4996    0.0000    2.2482     5000     2011      8.36      130       21   38.2548   12.9025  -84.0950  127.8700 
   7    1.5001    2.4995    0.0000    2.4982     5000     1947      8.12      196       13   37.9647   12.8575  -83.6825  127.9120 
   8    1.5000    2.4997    0.0000    2.7504     5000     1947      8.03      300       13   37.6787   12.8100  -83.2800  127.9410 
   9    1.5001    2.4995    0.0000    2.9989     5000     1914      7.85      489       19   37.4031   12.7600  -82.8775  127.9740 
  10    1.5001    2.4996    0.0000    3.2491     5000     1898      8.00      632       18   37.1316   12.7075  -82.4850  128.0030 
  11    1.5001    2.4996    0.0000    3.5004     5000     1906      7.78      758       16   36.8649   12.6550  -82.0925  128.0330 
  12    1.5000    2.4996    0.0000    3.7486     5000     1880      7.88      686       22   36.6069   12.6000  -81.7100  128.0550 
  13    1.5000    2.4997    0.0000    4.0000     5000     1811      7.55      447       15   36.3511   12.5425  -81.3275  128.0690 
  14    1.5001    2.4996    0.0000    4.2489     5000     1729      7.50      329       10   36.1031   12.4825  -80.9500  128.0870 
  15    1.5000    2.4996    0.0000    4.4993     5000     1799      7.49      192       20   35.8587   12.4225  -80.5775  128.1040 
  16    1.5000    2.4996    0.0000    4.7482     5000     1761      7.53      133       13   35.6205   12.3600  -80.2100  128.1190 
  17    1.5001    2.4995    0.0000    4.9982     5000     1703      7.28       70       10   35.3860   12.2950  -79.8425  128.1450 
  18    1.5001    2.4995    0.0000    5.2481     5000     1791      7.33       67       10   35.1561   12.2275  -79.4825  128.1470 
  19    1.5000    2.4996    0.0000    5.4989     5000     1715      7.32       54       18   34.9299   12.1625  -79.1250  128.1520 
  20    1.5001    2.4995    0.0000    5.7476     5000     1720      7.20       57       10   34.7100   12.0925  -78.7725  128.1610 
  21    1.5000    2.4997    0.0000    6.0015     5000     1659      7.14       55       11   34.4895   12.0225  -78.4200  128.1660 
