 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.1097   -0.0000    0.0000    6.0021     5000     1642      6.99       65        6   34.4890  -38.3300  -53.9550   11.8006 
   2    2.1305    0.0002    0.0000    6.0021     5000     1751      7.35       69        9   34.4890  -38.5025  -54.5500   11.8007 
   3    2.1505    0.0002    0.0000    6.0021     5000     1756      7.09       53       20   34.4890  -38.6775  -55.1250   11.8006 
   4    2.1705    0.0002    0.0000    6.0021     5000     1779      7.12       51       14   34.4890  -38.8550  -55.7025   11.8006 
   5    2.1905    0.0003    0.0000    6.0021     5000     1614      7.11       67        8   34.4890  -39.0325  -56.2800   11.8004 
   6    2.2105    0.0002    0.0000    6.0021     5000     1646      6.98       73       11   34.4890  -39.2150  -56.8575   11.8003 
   7    2.2305    0.0002    0.0000    6.0021     5000     1582      6.79       82       11   34.4890  -39.4000  -57.4375   11.8004 
   8    2.2505    0.0002    0.0000    6.0021     5000     1661      7.01       85       17   34.4890  -39.5875  -58.0200   11.8005 
   9    2.2705    0.0002    0.0000    6.0021     5000     1734      7.23      114       16   34.4890  -39.7750  -58.6025   11.8007 
  10    2.2905    0.0002    0.0000    6.0021     5000     1654      7.00      167       13   34.4890  -39.9675  -59.1875   11.8009 
  11    2.3105    0.0003    0.0000    6.0021     5000     1716      7.11      193       16   34.4890  -40.1600  -59.7750   11.8007 
  12    2.3304    0.0003    0.0000    6.0021     5000     1760      7.12      266       10   34.4890  -40.3550  -60.3600   11.8007 
  13    2.3505    0.0003    0.0000    6.0021     5000     1757      7.18      257       17   34.4890  -40.5525  -60.9500   11.8009 
  14    2.3704    0.0002    0.0000    6.0021     5000     1767      7.13      275       14   34.4890  -40.7550  -61.5400   11.8010 
  15    2.3905    0.0003    0.0000    6.0021     5000     1664      6.99      216       10   34.4890  -40.9550  -62.1350   11.8008 
  16    2.4104    0.0003    0.0000    6.0021     5000     1634      6.91      203       11   34.4890  -41.1600  -62.7275   11.8009 
  17    2.4305    0.0003    0.0000    6.0021     5000     1724      7.07      164       15   34.4890  -41.3675  -63.3250   11.8009 
  18    2.4505    0.0003    0.0000    6.0021     5000     1702      7.12      134       11   34.4890  -41.5750  -63.9225   11.8009 
  19    2.4705    0.0002    0.0000    6.0021     5000     1637      7.01       96        8   34.4890  -41.7875  -64.5225   11.8008 
  20    2.4905    0.0003    0.0000    6.0021     5000     1699      7.07      101       14   34.4890  -42.0000  -65.1250   11.8008 
  21    2.5105    0.0003    0.0000    6.0021     5000     1712      6.96       74       10   34.4890  -42.2150  -65.7275   11.8006 
  22    2.5305    0.0002    0.0000    6.0021     5000     1710      7.02       50       15   34.4890  -42.4325  -66.3325   11.8006 
  23    2.5505    0.0003    0.0000    6.0021     5000     1706      7.05       65       11   34.4890  -42.6500  -66.9400   11.8008 
  24    2.5705    0.0003    0.0000    6.0021     5000     1670      6.96       55       14   34.4890  -42.8725  -67.5500   11.8006 
  25    2.5905    0.0003    0.0000    6.0021     5000     1616      7.00       44        9   34.4890  -43.0950  -68.1625   11.8009 
