 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.2999    2.7002    0.0000    0.9973     5000     2054      9.18       69        9   39.8133   16.8800  -89.2800  128.1260 
   2    1.2998    2.6998    0.0000    1.2484     5000     2172      9.18       71       11   39.4851   16.8800  -88.7975  128.1150 
   3    1.3001    2.6996    0.0000    1.5005     5000     2030      8.82       57        8   39.1638   16.8600  -88.3400  128.1040 
   4    1.3002    2.6995    0.0000    1.7487     5000     1993      8.51       68       13   38.8549   16.8450  -87.8925  128.0910 
   5    1.3002    2.6995    0.0000    1.9981     5000     2038      8.47       58       12   38.5517   16.8275  -87.4500  128.0750 
   6    1.3002    2.6996    0.0000    2.2482     5000     1940      8.40       61       16   38.2548   16.8075  -87.0150  128.0530 
   7    1.3001    2.6996    0.0000    2.4982     5000     1902      8.39       67       17   37.9647   16.7850  -86.5850  128.0360 
   8    1.3001    2.6997    0.0000    2.7504     5000     1919      7.99       66        9   37.6787   16.7575  -86.1625  128.0180 
   9    1.3001    2.6996    0.0000    2.9989     5000     1793      7.84       73        7   37.4031   16.7300  -85.7425  128.0090 
  10    1.3001    2.6996    0.0000    3.2496     5000     1805      7.84       79       13   37.1311   16.6975  -85.3300  127.9840 
  11    1.3001    2.6996    0.0000    3.4999     5000     1858      7.70      100       17   36.8654   16.6650  -84.9200  127.9640 
  12    1.3002    2.6995    0.0000    3.7481     5000     1901      7.87      138       17   36.6075   16.6275  -84.5200  127.9410 
  13    1.3001    2.6996    0.0000    3.9995     5000     1790      7.62      208       16   36.3516   16.5900  -84.1200  127.9180 
  14    1.3001    2.6997    0.0000    4.2489     5000     1795      7.67      283       13   36.1031   16.5500  -83.7300  127.8930 
  15    1.3001    2.6996    0.0000    4.4998     5000     1765      7.52      359       16   35.8581   16.5075  -83.3400  127.8670 
  16    1.3001    2.6996    0.0000    4.7482     5000     1725      7.49      390       11   35.6205   16.4625  -82.9575  127.8380 
  17    1.3002    2.6996    0.0000    4.9982     5000     1796      7.52      303       19   35.3860   16.4150  -82.5775  127.8110 
  18    1.3001    2.6995    0.0000    5.2476     5000     1722      7.23      250       15   35.1567   16.3675  -82.2025  127.7800 
  19    1.3001    2.6996    0.0000    5.4984     5000     1783      7.32      191       10   34.9305   16.3175  -81.8300  127.7510 
  20    1.3002    2.6995    0.0000    5.7481     5000     1647      7.20      127       17   34.7095   16.2650  -81.4625  127.7160 
  21    1.3001    2.6997    0.0000    6.0015     5000     1659      7.17       86       11   34.4895   16.2125  -81.0975  127.6840 
