 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0002    0.5001    0.0000    2.4982     5000     1909      8.25       90        7   37.9647  -20.0875  -56.1975   11.8001 
   2    1.9997    0.4998    0.0000    2.7495     5000     1876      7.88      135       16   37.6797  -20.3650  -55.9150   11.8000 
   3    1.9997    0.4997    0.0000    2.9989     5000     1847      7.99      175       16   37.4031  -20.6425  -55.6525   11.8001 
   4    1.9997    0.4997    0.0000    3.2496     5000     1817      7.68      233       13   37.1311  -20.9200  -55.3900   11.8000 
   5    1.9997    0.4997    0.0000    3.5004     5000     1867      7.72      367       25   36.8649  -21.1950  -55.1300   11.8001 
   6    1.9997    0.4997    0.0000    3.7486     5000     1750      7.65      504       20   36.6069  -21.4675  -54.8725   11.7999 
   7    1.9997    0.4998    0.0000    4.0000     5000     1865      7.62      504       20   36.3511  -21.7400  -54.6150   11.7999 
   8    1.9997    0.4997    0.0000    4.2495     5000     1809      7.55      426       23   36.1025  -22.0125  -54.3550   11.8002 
   9    1.9996    0.4997    0.0000    4.4993     5000     1820      7.38      272       24   35.8587  -22.2825  -54.0975   11.8001 
  10    1.9997    0.4997    0.0000    4.7482     5000     1652      7.42      165       25   35.6205  -22.5525  -53.8425   11.8001 
  11    1.9997    0.4997    0.0000    4.9982     5000     1705      7.47      124       10   35.3860  -22.8225  -53.5875   11.8000 
  12    1.9997    0.4996    0.0000    5.2476     5000     1814      7.54       94       13   35.1567  -23.0900  -53.3325   11.8000 
  13    1.9997    0.4997    0.0000    5.4989     5000     1678      7.19       43        6   34.9299  -23.3575  -53.0775   11.8010 
  14    1.9997    0.4997    0.0000    5.7481     5000     1716      7.20       45       11   34.7095  -23.6225  -52.8250   11.7999 
  15    1.9997    0.4999    0.0000    6.0015     5000     1694      7.06       33       16   34.4895  -23.8875  -52.5700   11.7999 
  16    1.9997    0.4997    0.0000    6.2481     5000     1591      6.90       30       17   34.2794  -24.1525  -52.3200   11.8000 
  17    1.9996    0.4998    0.0000    6.4993     5000     1630      6.83       43       15   34.0693  -24.4150  -52.0675   11.8000 
  18    1.9996    0.4996    0.0000    6.7475     5000     1709      6.86       44       13   33.8655  -24.6800  -51.8150   11.7999 
  19    1.9996    0.4996    0.0000    6.9976     5000     1546      6.61       36       12   33.6637  -24.9425  -51.5650   11.8001 
  20    1.9996    0.4998    0.0000    7.2502     5000     1609      6.71       45       17   33.4635  -25.2025  -51.3150   11.7999 
  21    1.9997    0.4997    0.0000    7.4974     5000     1679      6.71       53       17   33.2711  -25.4650  -51.0675   11.8000 
