 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.8696   -0.0003    0.0000   -0.0023      500      204      0.77        3        0   41.2058  -28.2975  -52.9425   11.8001 
   2    1.8803    0.0000    0.0000   -0.0023      500      206      0.78        5        0   41.2058  -28.4500  -53.2700   11.8000 
   3    1.8904    0.0001    0.0000   -0.0023      500      191      0.82        8        2   41.2058  -28.6025  -53.5775   11.8001 
   4    1.9003    0.0001    0.0000   -0.0023      500      183      0.77        9        2   41.2058  -28.7550  -53.8825   11.7999 
   5    1.9103    0.0000    0.0000   -0.0023      500      195      0.86       74       11   41.2058  -28.9100  -54.1900   11.8000 
   6    1.9204    0.0001    0.0000   -0.0023      500      176      0.81      337       19   41.2058  -29.0625  -54.4975   11.8000 
   7    1.9303    0.0000    0.0000   -0.0023      500      171      0.76     1629       32   41.2058  -29.2175  -54.8050   11.7999 
   8    1.9403    0.0001    0.0000   -0.0023      500      169      0.84     5111       34   41.2058  -29.3700  -55.1125   11.8001 
   9    1.9503    0.0000    0.0000   -0.0023      500      174      0.75     7316       52   41.2058  -29.5250  -55.4200   11.8000 
  10    1.9603    0.0000    0.0000   -0.0023      500      186      0.81     9749       78   41.2058  -29.6800  -55.7300   11.7999 
  11    1.9703   -0.0000    0.0000   -0.0023      500      181      0.81    10717       94   41.2058  -29.8350  -56.0375   11.7998 
  12    1.9803    0.0001    0.0000   -0.0023      500      191      0.79    11530       87   41.2058  -29.9875  -56.3475   11.7999 
  13    1.9903    0.0000    0.0000   -0.0023      500      198      0.81    12666       92   41.2058  -30.1450  -56.6575   11.8000 
  14    2.0004    0.0000    0.0000   -0.0023      500      202      0.75    11652       72   41.2058  -30.3000  -56.9700   11.7999 
  15    2.0103    0.0000    0.0000   -0.0023      500      190      0.84    12709       83   41.2058  -30.4550  -57.2800   11.8000 
  16    2.0203    0.0001    0.0000   -0.0023      500      208      0.81    11307       67   41.2058  -30.6100  -57.5925   11.8001 
  17    2.0303    0.0000    0.0000   -0.0023      500      205      0.80     9500       64   41.2058  -30.7675  -57.9025   11.8000 
  18    2.0403    0.0001    0.0000   -0.0023      500      220      0.81     8393       59   41.2058  -30.9225  -58.2150   11.8001 
  19    2.0504    0.0001    0.0000   -0.0023      500      220      0.88     6100       57   41.2058  -31.0800  -58.5300   11.8001 
  20    2.0603    0.0001    0.0000   -0.0023      500      197      0.81     2855       23   41.2058  -31.2350  -58.8425   11.8001 
  21    2.0703    0.0001    0.0000   -0.0023      500      195      0.80      787       14   41.2058  -31.3925  -59.1550   11.8000 
  22    2.0803    0.0001    0.0000   -0.0023      500      187      0.83      307        3   41.2058  -31.5500  -59.4700   11.8001 
  23    2.0903    0.0001    0.0000   -0.0023      500      215      0.83      114        2   41.2058  -31.7075  -59.7850   11.8000 
  24    2.1003    0.0001    0.0000   -0.0023      500      241      0.91       29        1   41.2058  -31.8650  -60.1000   11.8001 
  25    2.1103    0.0001    0.0000   -0.0023      500      183      0.82       15        1   41.2058  -32.0225  -60.4175   11.8001 
  26    2.1203    0.0001    0.0000   -0.0023      500      207      0.81       13        1   41.2058  -32.1800  -60.7325   11.8001 
  27    2.1303    0.0001    0.0000   -0.0023      500      175      0.82       11        0   41.2058  -32.3400  -61.0500   11.8001 
