 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.1596   -0.0002    0.0000    6.4999     5000     1635      6.89       67       10   34.0688  -39.2425  -54.8725   11.8011 
   2    2.1804    0.0001    0.0000    6.4999     5000     1579      6.63       46       16   34.0688  -39.4100  -55.4675   11.8007 
   3    2.2004    0.0001    0.0000    6.4999     5000     1617     15.36       58       10   34.0688  -39.5800  -56.0425   11.8011 
   4    2.2204    0.0001    0.0000    6.4999     5000     1582      6.78       76       11   34.0688  -39.7550  -56.6175   11.8010 
   5    2.2405    0.0001    0.0000    6.4999     5000     1527      6.76       67       16   34.0688  -39.9300  -57.1975   11.8011 
   6    2.2604    0.0001    0.0000    6.4999     5000     1626      6.85       65        9   34.0688  -40.1075  -57.7750   11.8012 
   7    2.2804    0.0002    0.0000    6.4999     5000     1640      6.91       63       17   34.0688  -40.2875  -58.3550   11.8011 
   8    2.3003    0.0001    0.0000    6.4999     5000     1694      7.00       92       12   34.0688  -40.4700  -58.9350   11.8010 
   9    2.3204    0.0002    0.0000    6.4999     5000     1613      6.86      119       16   34.0688  -40.6550  -59.5200   11.8011 
  10    2.3404    0.0002    0.0000    6.4999     5000     1548      6.71      165        9   34.0688  -40.8425  -60.1050   11.8011 
  11    2.3604    0.0002    0.0000    6.4999     5000     1607      6.82      188       21   34.0688  -41.0325  -60.6900   11.8010 
  12    2.3804    0.0002    0.0000    6.4999     5000     1640      6.94      210       15   34.0688  -41.2250  -61.2800   11.8009 
  13    2.4004    0.0002    0.0000    6.4999     5000     1572      6.84      266       11   34.0688  -41.4200  -61.8700   11.8008 
  14    2.4204    0.0001    0.0000    6.4999     5000     1682      6.96      255       18   34.0688  -41.6175  -62.4600   11.8009 
  15    2.4404    0.0001    0.0000    6.4999     5000     1638      6.92      229       10   34.0688  -41.8150  -63.0525   11.8008 
  16    2.4604    0.0002    0.0000    6.4999     5000     1684      6.93      197       11   34.0688  -42.0150  -63.6475   11.8006 
  17    2.4804    0.0001    0.0000    6.4999     5000     1660      6.94      152       16   34.0688  -42.2200  -64.2450   11.8007 
  18    2.5004    0.0001    0.0000    6.4999     5000     1609      6.96      137       15   34.0688  -42.4250  -64.8425   11.8007 
  19    2.5204    0.0001    0.0000    6.4999     5000     1599      6.73      110       15   34.0688  -42.6325  -65.4425   11.8007 
  20    2.5404    0.0002    0.0000    6.4999     5000     1569      6.74       87       10   34.0688  -42.8400  -66.0450   11.8007 
  21    2.5604    0.0002    0.0000    6.4999     5000     1801      7.08       84       26   34.0688  -43.0525  -66.6475   11.8007 
  22    2.5804    0.0002    0.0000    6.4999     5000     1653      6.89       80       10   34.0688  -43.2650  -67.2550   11.8008 
  23    2.6004    0.0002    0.0000    6.4999     5000     1574      6.83       74       18   34.0688  -43.4825  -67.8625   11.8009 
  24    2.6203    0.0001    0.0000    6.4999     5000     1690     15.44       48       13   34.0688  -43.7000  -68.4700   11.8007 
  25    2.6404    0.0002    0.0000    6.4999     5000     1626      6.92       69       13   34.0688  -43.9200  -69.0850   11.8007 
