 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0003    0.4502    0.0000    1.9990     5000     1953      8.45      103       14   38.5507  -20.7325  -56.3800   11.7999 
   2    1.9997    0.4497    0.0000    2.2482     5000     1970      8.29       97       17   38.2548  -21.0175  -56.0950   11.8000 
   3    1.9997    0.4496    0.0000    2.4987     5000     1884      8.05      153       21   37.9641  -21.3025  -55.8325   11.8000 
   4    1.9997    0.4498    0.0000    2.7500     5000     1707      7.97      176       12   37.6792  -21.5825  -55.5700   11.7999 
   5    1.9996    0.4496    0.0000    2.9985     5000     1841      7.86      310       15   37.4036  -21.8650  -55.3075   11.7998 
   6    1.9996    0.4497    0.0000    3.2496     5000     1756      7.69      462       19   37.1311  -22.1450  -55.0475   11.7999 
   7    1.9997    0.4498    0.0000    3.4999     5000     1756      7.72      603       25   36.8654  -22.4225  -54.7925   11.8000 
   8    1.9996    0.4497    0.0000    3.7491     5000     1867      7.70      606       25   36.6064  -22.7000  -54.5325   11.8000 
   9    1.9996    0.4498    0.0000    4.0000     5000     1789      7.54      459       25   36.3511  -22.9750  -54.2750   11.8000 
  10    1.9997    0.4498    0.0000    4.2489     5000     1834      7.69      311       22   36.1031  -23.2500  -54.0200   11.8002 
  11    1.9997    0.4498    0.0000    4.4993     5000     1684      7.42      203       18   35.8587  -23.5250  -53.7650   11.8000 
  12    1.9996    0.4497    0.0000    4.7482     5000     1658      7.39      108       18   35.6205  -23.7975  -53.5075   11.8001 
  13    1.9997    0.4497    0.0000    4.9977     5000     1724      7.37       63       21   35.3865  -24.0700  -53.2550   11.8000 
  14    1.9996    0.4497    0.0000    5.2481     5000     1672      7.25       63       20   35.1561  -24.3400  -53.0000   11.8001 
  15    1.9997    0.4497    0.0000    5.4989     5000     1724      7.26       60       11   34.9299  -24.6125  -52.7475   11.8002 
  16    1.9996    0.4497    0.0000    5.7481     5000     1648      7.18       52       14   34.7095  -24.8800  -52.4950   11.8003 
  17    1.9997    0.4498    0.0000    6.0009     5000     1688      7.06       45       19   34.4900  -25.1500  -52.2425   11.8001 
  18    1.9996    0.4497    0.0000    6.2481     5000     1592      6.79       34       14   34.2794  -25.4175  -51.9900   11.7999 
  19    1.9996    0.4498    0.0000    6.4993     5000     1625      7.01       49       17   34.0693  -25.6825  -51.7400   11.7999 
  20    1.9996    0.4497    0.0000    6.7475     5000     1642      6.78       37       18   33.8655  -25.9500  -51.4900   11.7998 
  21    1.9996    0.4497    0.0000    6.9976     5000     1657      6.80       49       22   33.6637  -26.2150  -51.2400   11.8000 
