 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.6001    2.4003    0.0000    1.9990     5000     2015      8.38      451       20   38.5507   10.7300  -83.4250  117.7740 
   2    1.6201    2.3796    0.0000    1.9990     5000     1978      8.23      674       18   38.5507   10.2675  -83.2125  118.0270 
   3    1.6400    2.3596    0.0000    1.9990     5000     1929      8.35      970       26   38.5507    9.8000  -83.0300  118.1980 
   4    1.6601    2.3396    0.0000    1.9990     5000     1998      8.56     1400       19   38.5507    9.3225  -82.8575  118.4490 
   5    1.6801    2.3196    0.0000    1.9990     5000     1925      8.33     1770       24   38.5507    8.8400  -82.6950  118.6940 
   6    1.7000    2.2996    0.0000    1.9990     5000     2034      8.52     2116       36   38.5507    8.3525  -82.5425  118.9360 
   7    1.7200    2.2796    0.0000    1.9990     5000     1973      8.29     2368       31   38.5507    7.8575  -82.4000  119.0960 
   8    1.7401    2.2595    0.0000    1.9990     5000     2054      8.47     2475       37   38.5507    7.3550  -82.2650  119.3280 
   9    1.7600    2.2396    0.0000    1.9990     5000     1978      8.35     2405       36   38.5507    6.8500  -82.1425  119.5570 
  10    1.7800    2.2196    0.0000    1.9990     5000     1896      8.19     2015       37   38.5507    6.3375  -82.0275  119.7810 
  11    1.8000    2.1996    0.0000    1.9990     5000     1959      8.36     1855       55   38.5507    5.8175  -81.9250  119.9300 
  12    1.8200    2.1795    0.0000    1.9990     5000     2058      8.45     1600       77   38.5507    5.2925  -81.8300  120.1460 
  13    1.8400    2.1596    0.0000    1.9990     5000     1935      8.43     1283       88   38.5507    4.7625  -81.7475  120.3580 
  14    1.8600    2.1395    0.0000    1.9990     5000     1946      8.34     1044       97   38.5507    4.2275  -81.6725  120.4980 
  15    1.8800    2.1195    0.0000    1.9990     5000     1987      8.52      819      113   38.5507    3.6875  -81.6075  120.7050 
  16    1.9001    2.0998    0.0000    1.9990     5000     1982      8.41      734      114   38.5507    3.1400  -81.5625  120.8380 
  17    1.9200    2.0798    0.0000    1.9990     5000     1940      8.51      712      140   38.5507    2.5900  -81.5150  121.0370 
  18    1.9400    2.0595    0.0000    1.9990     5000     2059      8.43      719      132   38.5507    2.0325  -81.4750  121.1680 
  19    1.9601    2.0405    0.0000    1.9990     5000     1972      8.45      614      114   38.5507    1.4725  -81.4750  121.3590 
  20    1.9800    2.0197    0.0000    1.9990     5000     1881      8.40      634       74   38.5507    0.9050  -81.4400  121.5480 
  21    2.0000    1.9999    0.0000    1.9990     5000     1969      8.47      626       75   38.5507    0.3350  -81.4400  121.6730 
  22    2.0200    1.9797    0.0000    1.9990     5000     1976      8.36      644       63   38.5507   -0.2400  -81.4400  121.8570 
  23    2.0400    1.9595    0.0000    1.9990     5000     1973      8.33      725       44   38.5507   -0.8200  -81.4500  121.9760 
  24    2.0600    1.9398    0.0000    1.9990     5000     2017      8.42      786       42   38.5507   -1.4025  -81.4800  122.1580 
  25    2.0800    1.9199    0.0000    1.9990     5000     2050      8.46      987       48   38.5507   -1.9925  -81.5200  122.2770 
  26    2.1001    1.9001    0.0000    1.9990     5000     1964      8.36     1036       44   38.5507   -2.5850  -81.5700  122.4550 
  27    2.1201    1.8803    0.0000    1.9990     5000     2009      8.34     1260       39   38.5507   -3.1800  -81.6300  122.6300 
  28    2.1401    1.8603    0.0000    1.9990     5000     2019      8.56     1517       37   38.5507   -3.7800  -81.6925  122.7440 
  29    2.1601    1.8404    0.0000    1.9990     5000     1922      8.34     1642       38   38.5507   -4.3850  -81.7700  122.9130 
  30    2.1801    1.8202    0.0000    1.9990     5000     1991      8.35     1672       32   38.5507   -4.9925  -81.8475  123.0240 
  31    2.2001    1.8004    0.0000    1.9990     5000     1904      8.29     1810       22   38.5507   -5.6025  -81.9475  123.1880 
  32    2.2201    1.7804    0.0000    1.9990     5000     1986      8.48     1821       27   38.5507   -6.2175  -82.0500  123.2960 
  33    2.2402    1.7603    0.0000    1.9990     5000     1928      8.29     1783       29   38.5507   -6.8375  -82.1650  123.4550 
  34    2.2601    1.7404    0.0000    1.9990     5000     1975      8.38     1640       22   38.5507   -7.4575  -82.2875  123.6120 
  35    2.2801    1.7203    0.0000    1.9990     5000     2004      8.48     1473       19   38.5507   -8.0825  -82.4200  123.7640 
  36    2.3001    1.7003    0.0000    1.9990     5000     1960      8.43     1326       28   38.5507   -8.7100  -82.5625  123.9160 
  37    2.3201    1.6804    0.0000    1.9990     5000     2010      8.48     1006       15   38.5507   -9.3400  -82.7175  124.0140 
  38    2.3401    1.6603    0.0000    1.9990     5000     2069      8.42      891       20   38.5507   -9.9725  -82.8775  124.1610 
  39    2.3602    1.6403    0.0000    1.9990     5000     2020      8.31      691       17   38.5507  -10.6100  -83.0525  124.3030 
  40    2.3802    1.6204    0.0000    1.9990     5000     1889      8.18      554       25   38.5507  -11.2475  -83.2350  124.3950 
  41    2.4001    1.6004    0.0000    1.9990     5000     1991      8.45      410       20   38.5507  -11.8875  -83.4250  124.5780 
