 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.9998    0.3998    0.0000    1.5001     5000     2081      8.85       94       17   39.1643  -21.3900  -56.5750   11.8000 
   2    1.9997    0.3997    0.0000    1.7482     5000     2097      8.87      109       15   38.8554  -21.6800  -56.3100   11.8001 
   3    1.9997    0.3997    0.0000    1.9985     5000     1927      8.32      102       17   38.5512  -21.9700  -56.0475   11.8001 
   4    1.9997    0.3997    0.0000    2.2482     5000     1930      8.19      177       19   38.2548  -22.2575  -55.7850   11.8000 
   5    1.9996    0.3997    0.0000    2.4982     5000     1896      8.02      223       15   37.9647  -22.5450  -55.5225   11.8001 
   6    1.9997    0.3998    0.0000    2.7500     5000     1973      7.99      405       21   37.6792  -22.8300  -55.2625   11.8001 
   7    1.9997    0.3997    0.0000    2.9985     5000     1885      8.00      596       28   37.4036  -23.1150  -55.0050   11.7999 
   8    1.9996    0.3997    0.0000    3.2501     5000     1817      7.85      693       22   37.1306  -23.3975  -54.7400   11.7999 
   9    1.9997    0.3998    0.0000    3.5004     5000     1775      7.66      693       26   36.8649  -23.6800  -54.4875   11.8001 
  10    1.9997    0.3997    0.0000    3.7481     5000     1716      7.60      503       24   36.6075  -23.9600  -54.2300   11.8001 
  11    1.9997    0.3998    0.0000    4.0000     5000     1805      7.72      366       27   36.3511  -24.2375  -53.9725   11.8000 
  12    1.9997    0.3997    0.0000    4.2495     5000     1811      7.66      194       37   36.1025  -24.5175  -53.7175   11.8002 
  13    1.9997    0.3998    0.0000    4.4998     5000     1812      7.54      131       23   35.8581  -24.7925  -53.4625   11.8002 
  14    1.9996    0.3997    0.0000    4.7482     5000     1781      7.39       76       25   35.6205  -25.0700  -53.2075   11.8000 
  15    1.9996    0.3997    0.0000    4.9982     5000     1777      7.31       80       12   35.3860  -25.3450  -52.9550   11.8001 
  16    1.9996    0.3997    0.0000    5.2476     5000     1737      7.28       61       21   35.1567  -25.6175  -52.7025   11.8001 
  17    1.9997    0.3997    0.0000    5.4989     5000     1751      7.25       42       12   34.9299  -25.8925  -52.4500   11.8002 
