 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    1.9595   -0.0002    0.0000    4.9982     5000     1665      7.25       59       14   35.3860  -35.9425  -50.6750   11.8003 
   2    1.9803   -0.0000    0.0000    4.9982     5000     1744      7.33       77       11   35.3860  -36.1175  -51.2675   11.8007 
   3    2.0004    0.0000    0.0000    4.9982     5000     1761      7.24       64       15   35.3860  -36.2950  -51.8425   11.8006 
   4    2.0203    0.0000    0.0000    4.9982     5000     1672      7.18       75       15   35.3860  -36.4750  -52.4125   11.8006 
   5    2.0403    0.0000    0.0000    4.9982     5000     1747      7.19       64        8   35.3860  -36.6575  -52.9875   11.8006 
   6    2.0603    0.0001    0.0000    4.9982     5000     1687      7.29       66       15   35.3860  -36.8425  -53.5625   11.8005 
   7    2.0804    0.0001    0.0000    4.9982     5000     1678      7.26       65       15   35.3860  -37.0300  -54.1425   11.8003 
   8    2.1003    0.0001    0.0000    4.9982     5000     1764      7.31       64       11   35.3860  -37.2200  -54.7175   11.8004 
   9    2.1204    0.0001    0.0000    4.9982     5000     1611      7.25       66       11   35.3860  -37.4125  -55.3000   11.8004 
  10    2.1403    0.0001    0.0000    4.9982     5000     1630      7.28       76       13   35.3860  -37.6075  -55.8800   11.8007 
  11    2.1603    0.0000    0.0000    4.9982     5000     1661      7.32       84       11   35.3860  -37.8050  -56.4625   11.8007 
  12    2.1804    0.0000    0.0000    4.9982     5000     1627      7.01      113       12   35.3860  -38.0050  -57.0475   11.8008 
  13    2.2004    0.0001    0.0000    4.9982     5000     1721      7.43      141        9   35.3860  -38.2050  -57.6325   11.8007 
  14    2.2204    0.0001    0.0000    4.9982     5000     1703      7.32      201        8   35.3860  -38.4075  -58.2200   11.8007 
  15    2.2403    0.0000    0.0000    4.9982     5000     1756      7.35      250        8   35.3860  -38.6150  -58.8075   11.8005 
  16    2.2603    0.0001    0.0000    4.9982     5000     1718      7.37      270       18   35.3860  -38.8225  -59.3975   11.8005 
  17    2.2804    0.0001    0.0000    4.9982     5000     1669      7.27      291        9   35.3860  -39.0325  -59.9900   11.8008 
  18    2.3003    0.0000    0.0000    4.9982     5000     1671      7.14      276       19   35.3860  -39.2450  -60.5825   11.8006 
  19    2.3203    0.0001    0.0000    4.9982     5000     1631      7.26      224       13   35.3860  -39.4575  -61.1775   11.8008 
  20    2.3403    0.0000    0.0000    4.9982     5000     1790      7.39      196       20   35.3860  -39.6750  -61.7750   11.8018 
  21    2.3603    0.0001    0.0000    4.9982     5000     1756      7.24      177       14   35.3860  -39.8925  -62.3725   11.8007 
  22    2.3804    0.0001    0.0000    4.9982     5000     1763      7.26      130       16   35.3860  -40.1125  -62.9750   11.8006 
  23    2.4003    0.0001    0.0000    4.9982     5000     1754      7.22       87       12   35.3860  -40.3350  -63.5750   11.8005 
  24    2.4203    0.0001    0.0000    4.9982     5000     1801      7.52       99       13   35.3860  -40.5575  -64.1800   11.8007 
  25    2.4404    0.0001    0.0000    4.9982     5000     1715      7.41       71       16   35.3860  -40.7850  -64.7875   11.8005 
